,,Hybrid,Backbone,Victim
AlexNet,C10,19.04%,19.56%,23.71%
AlexNet,C100,8.27%,14.48%,11.9%
AlexNet,S10,24.15%,32.75%,17.14%
AlexNet,UTK,52.27%,51.32%,47.0%
ResNet18,C10,31.4%,25.63%,17.33%
ResNet18,C100,10.9%,18.33%,7.78%
ResNet18,S10,29.19%,32.77%,32.77%
ResNet18,UTK,51.95%,50.86%,51.63%
ResNet34,C10,26.43%,24.01%,26.45%
ResNet34,C100,10.67%,16.46%,20.54%
ResNet34,S10,38.73%,32.71%,42.02%
ResNet34,UTK,48.5%,51.63%,52.18%
VGG16_BN,C10,30.87%,25.65%,20.69%
VGG16_BN,C100,9.78%,18.44%,6.38%
VGG16_BN,S10,41.58%,32.91%,31.75%
VGG16_BN,UTK,48.37%,52.54%,51.04%
VGG19_BN,C10,24.08%,25.73%,22.09%
VGG19_BN,C100,11.47%,18.19%,14.69%
VGG19_BN,S10,41.61%,32.74%,37.67%
VGG19_BN,UTK,47.09%,52.72%,51.54%
