,,White-box,DarkneTZ,Serdab,Magnitude,SOTER,ShadowNet,Ours,Black-box
AlexNet,C10,22.53%,24.25%,22.77%,14.5%,22.67%,22.0%,0%,0%
AlexNet,C100,52.75%,46.69%,52.92%,53.65%,50.42%,52.0%,0%,0%
AlexNet,S10,28.65%,28.86%,29.35%,30.8%,29.08%,28.0%,0%,0%
AlexNet,UTK,16.17%,16.5%,14.65%,15.05%,14.26%,16.0%,0%,0%
ResNet18,C10,15.43%,15.93%,16.51%,15.98%,14.58%,15.0%,0%,0%
ResNet18,C100,38.87%,41.29%,39.26%,39.61%,40.52%,39.0%,0%,0%
ResNet18,S10,23.46%,24.46%,23.69%,25.69%,23.72%,24.0%,0%,0%
ResNet18,UTK,12.73%,13.27%,14.65%,12.61%,7.96%,13.0%,0%,0%
ResNet34,C10,15.39%,15.03%,16.93%,15.89%,4.17%,15.0%,0%,0%
ResNet34,C100,36.9%,39.24%,37.58%,38.77%,44.15%,37.0%,0%,0%
ResNet34,S10,21.57%,23.05%,23.32%,23.26%,26.92%,21.0%,0%,0%
ResNet34,UTK,12.52%,13.77%,13.19%,12.52%,11.01%,13.0%,0%,0%
VGG16_BN,C10,7.35%,7.72%,7.55%,11.52%,11.93%,7.0%,0%,0%
VGG16_BN,C100,29.1%,32.02%,29.22%,31.99%,41.21%,29.0%,0%,0%
VGG16_BN,S10,11.08%,12.12%,11.2%,13.05%,15.26%,11.0%,0%,0%
VGG16_BN,UTK,10.73%,12.18%,10.56%,12.41%,13.47%,11.0%,0%,0%
VGG19_BN,C10,9.4%,8.69%,10.55%,10.61%,8.91%,9.0%,0%,0%
VGG19_BN,C100,29.58%,30.83%,29.91%,32.76%,33.23%,29.0%,0%,0%
VGG19_BN,S10,14.28%,15.69%,15.17%,16.34%,14.34%,14.0%,0%,0%
VGG19_BN,UTK,11.38%,11.78%,12.57%,13.74%,12.87%,12.0%,0%,0%
