,,White-box,DarkneTZ,Serdab,Magnitude,SOTER,Ours,Black-box
AlexNet,C10,69.73%,56.63%,65.49%,56.51%,65.35%,50.0%,50.0%
AlexNet,C100,62.47%,53.42%,56.95%,78.98%,50.61%,50.0%,50.0%
AlexNet,S10,71.2%,58.71%,63.89%,69.14%,63.34%,50.0%,50.0%
AlexNet,UTK,64.34%,62.76%,58.76%,59.76%,58.35%,50.0%,50.0%
ResNet18,C10,70.01%,63.68%,67.51%,60.13%,53.29%,50.0%,50.0%
ResNet18,C100,89.07%,72.78%,88.63%,72.15%,76.78%,50.0%,50.0%
ResNet18,S10,77.27%,65.15%,75.91%,64.38%,61.51%,50.0%,50.0%
ResNet18,UTK,63.91%,58.0%,61.35%,56.96%,52.46%,50.0%,50.0%
ResNet34,C10,68.98%,55.44%,57.56%,57.26%,50.06%,50.0%,50.0%
ResNet34,C100,85.02%,75.2%,84.17%,71.32%,68.44%,50.0%,50.0%
ResNet34,S10,72.23%,64.8%,70.25%,66.78%,63.2%,50.0%,50.0%
ResNet34,UTK,63.36%,55.39%,57.81%,58.07%,52.18%,50.0%,50.0%
VGG16_BN,C10,68.86%,52.52%,67.35%,59.29%,49.93%,50.0%,50.0%
VGG16_BN,C100,87.8%,70.66%,87.88%,73.58%,50.0%,50.0%,50.0%
VGG16_BN,S10,65.49%,68.91%,66.11%,66.91%,52.62%,50.0%,50.0%
VGG16_BN,UTK,63.17%,61.94%,63.01%,61.11%,49.86%,50.0%,50.0%
VGG19_BN,C10,64.66%,55.12%,63.28%,61.28%,50.01%,50.0%,50.0%
VGG19_BN,C100,68.75%,50.0%,87.53%,75.22%,50.0%,50.0%,50.0%
VGG19_BN,S10,64.75%,63.08%,66.11%,67.62%,64.02%,50.0%,50.0%
VGG19_BN,UTK,63.24%,62.07%,62.3%,57.99%,55.32%,50.0%,50.0%
